routeId,month,averageSpeedKmh,count
-1,2019-05,12.19,157595
131,2019-05,35.18,18132
140,2019-05,42.42,16095
142,2019-05,40.71,13893
1472,2019-05,42.39,25099
150,2019-05,35.97,8195
1571,2019-05,35.81,16879
2101,2019-05,30.66,9188
2102,2019-05,32.79,8097
2104,2019-05,29.03,6560
2121,2019-05,34.45,14401
2141,2019-05,33.16,4954
217,2019-05,30.71,3341
2211,2019-05,35.35,11271
2212,2019-05,33.38,10624
2241,2019-05,34.22,4649
2242,2019-05,41.15,15439
2243,2019-05,34.90,2906
2273,2019-05,36.59,15659
2274,2019-05,35.23,11794
2301,2019-05,37.57,10120
2401,2019-05,46.46,9905
2402,2019-05,42.07,10322
243,2019-05,27.50,2276
2471,2019-05,34.26,18178
2472,2019-05,39.44,16862
2473,2019-05,34.31,13062
2521,2019-05,32.88,5849
2524,2019-05,31.38,12152
271,2019-05,37.42,9002
272,2019-05,35.45,11919
2801,2019-05,36.33,2749
282,2019-05,28.43,5640
2841,2019-05,34.93,7925
2842,2019-05,33.22,6144
3011,2019-05,36.90,2458
302,2019-05,36.64,7712
303,2019-05,30.60,1956
304,2019-05,40.56,3261
305,2019-05,44.22,3033
306,2019-05,38.09,6515
3112,2019-05,36.27,1492
311,2019-05,38.01,8236
3121,2019-05,38.98,6014
3122,2019-05,37.37,6994
3123,2019-05,42.48,2150
3124,2019-05,33.28,4262
3131,2019-05,37.30,5588
3132,2019-05,37.06,3247
3133,2019-05,33.68,5523
3141,2019-05,42.16,9772
3171,2019-05,33.32,4703
3172,2019-05,33.88,4262
318,2019-05,30.40,3929
3191,2019-05,27.52,5334
3192,2019-05,35.38,3786
321,2019-05,34.71,2597
322,2019-05,37.65,2378
323,2019-05,34.68,1556
324,2019-05,32.85,1789
332,2019-05,27.97,2283
333,2019-05,29.16,2467
334,2019-05,28.86,2014
3351,2019-05,26.26,1787
336,2019-05,25.76,1989
3371,2019-05,33.77,4173
3372,2019-05,36.70,2907
3411,2019-05,36.70,5018
3413,2019-05,38.65,1255
3422,2019-05,34.89,2570
3441,2019-05,34.07,4107
3442,2019-05,38.45,4459
3452,2019-05,44.25,3224
347,2019-05,36.21,8840
352,2019-05,23.01,1664
353,2019-05,31.53,1650
355,2019-05,27.62,2335
357,2019-05,44.12,3237
370,2019-05,25.06,1235
371,2019-05,32.29,3583
3721,2019-05,42.61,4473
3722,2019-05,43.56,1089
373,2019-05,39.27,5851
375,2019-05,38.44,4297
376,2019-05,36.91,3928
377,2019-05,38.15,7669
3781,2019-05,38.25,2155
385,2019-05,41.46,5103
421,2019-05,34.06,19600
4272,2019-05,32.83,1777
427,2019-05,36.87,6948
431,2019-05,31.24,7665
437,2019-05,35.49,10332
441,2019-05,38.21,14995
452,2019-05,29.31,3108
722,2019-05,7.30,175
999,2019-05,13.24,68913
